39.96,40.21,38.61,39.69,
38.80,39.04,38.01,40.04,
38.92,38.94,38.13,39.33,
38.85,38.54,37.77,39.05,
38.19,38.84,38.23,39.33,
37.85,38.64,37.71,39.34,
39.12,38.45,38.08,38.51,
38.49,38.41,37.53,38.68,
38.49,38.18,37.68,38.30,
38.72,37.99,37.30,38.74,
37.71,38.63,37.40,37.43,
39.72,38.17,37.24,38.09,
38.36,38.65,37.64,38.60,
39.17,38.43,37.95,39.68,
39.21,38.80,37.99,38.26,
38.03,40.02,37.94,40.79,
